"시도별(17개)","규모별","직종별",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2,2023.1/2,2023.1/2,2023.1/2,2023.2/2,2023.2/2,2023.2/2,2024.1/2,2024.1/2,2024.1/2,2024.2/2,2024.2/2,2024.2/2,2025.1/2,2025.1/2,2025.1/2,2025.2/2,2025.2/2,2025.2/2
"시도별(17개)","규모별","직종별",구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%)
"대전광역시","전규모(1인이상)","3 보건ㆍ의료직",2532,149,2.8,2040,255,3.1,2542,244,2.6,1845,287,3.2,2925,207,2.2,1713,310,2.7,2926,103,1.5,2292,530,2.9,2539,434,3.5,2344,294,3.4
"대전광역시","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",341,39,2.7,273,29,4.7,334,15,2.2,386,195,4.2,575,61,2.4,314,18,3.5,464,39,2.4,584,18,3.6,712,5,2.4,89,2,2.6
"대전광역시","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",5762,152,2.6,6673,176,3.5,8011,314,3.7,8354,402,4.0,12432,495,3.9,8921,622,2.8,11350,487,3.5,9889,288,3.3,9825,64,2.8,8287,273,3.8
"대전광역시","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",4954,499,3.8,7106,739,4.3,6952,1431,4.9,6160,1009,5.3,6491,763,4.4,5028,502,3.5,8588,335,3.0,6116,210,3.4,6772,534,3.4,6386,403,3.1
"대전광역시","전규모(1인이상)","7 건설ㆍ채굴직",2359,17,1.0,3382,223,4.0,3930,115,4.9,7840,274,2.8,7425,144,13.5,17482,16,2.8,7771,163,2.5,9020,10,5.0,6741,32,4.7,6862,123,1.3
"대전광역시","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",2838,291,2.2,3465,681,4.5,4196,739,4.7,4352,620,3.7,4347,431,3.9,6915,431,2.3,4350,286,3.3,6177,369,3.0,6157,671,2.8,4975,275,2.9
"대전광역시","전규모(1인이상)","9 농림어업직",39,0,1.4,2,0,0.0,196,0,0.0,34,0,0.0,307,2,16.1,465,0,1.5,440,3,14.0,763,1,0.8,50,0,0.0,285,8,1.3
"울산광역시","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",1429,36,0.4,1758,120,0.9,2590,191,1.2,2318,129,1.1,2391,194,1.2,2163,156,1.0,2735,157,1.3,2390,159,1.3,2621,134,1.6,2340,78,0.8
"울산광역시","전규모(1인이상)","1 연구직 및 공학기술직",903,52,1.4,1136,180,2.0,1713,312,2.7,1506,243,2.8,1648,165,3.0,1161,127,2.8,1453,175,2.8,1586,217,2.4,1521,100,2.2,1269,89,1.8
"울산광역시","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",1753,18,1.1,1667,125,1.8,2059,89,2.1,1271,65,1.5,2777,37,2.4,1307,67,1.8,1920,41,2.4,2042,87,2.2,2261,79,3.5,1557,88,3.1
"울산광역시","전규모(1인이상)","3 보건ㆍ의료직",1254,77,1.5,1012,110,1.1,1492,126,1.8,1022,126,1.9,1641,106,1.7,935,84,2.1,1653,27,1.9,1175,53,1.9,1876,27,2.6,1172,50,2.0
"울산광역시","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",94,5,1.3,40,3,0.3,93,1,1.0,181,57,6.6,131,47,6.0,61,0,5.5,208,17,2.6,165,11,3.5,172,4,1.3,213,5,2.0
"울산광역시","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",3489,21,1.1,3118,122,3.0,3706,189,2.7,3297,403,3.6,5084,223,3.9,4148,92,2.8,5307,143,3.9,4483,201,3.2,6144,120,3.4,4372,169,3.8
"울산광역시","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",1320,337,1.1,2182,396,2.2,1838,408,2.5,2159,471,3.5,2378,440,2.9,2417,267,2.8,2969,342,2.6,3084,266,2.5,2683,194,2.3,2800,151,2.3
"울산광역시","전규모(1인이상)","7 건설ㆍ채굴직",832,6,0.5,1734,39,1.7,2578,120,3.3,1783,184,2.5,3673,146,3.7,2632,111,5.7,3799,105,5.6,4874,209,2.2,3243,103,3.4,4812,157,1.8
"울산광역시","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",4446,337,0.9,6026,605,1.5,4931,743,2.3,4913,1057,2.4,6530,849,2.8,5291,598,2.7,5898,430,2.3,4668,547,1.9,5538,322,2.7,5570,258,1.8
"울산광역시","전규모(1인이상)","9 농림어업직",147,0,0.4,322,0,0.5,120,0,6.6,84,2,2.1,141,0,3.7,2,0,0.4,135,5,6.8,16,0,2.9,76,0,2.7,243,0,1.3
"세종특별자치시","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",706,72,2.1,720,118,2.3,773,106,2.4,976,84,2.0,948,105,2.2,961,134,1.7,974,110,1.6,902,131,1.4,763,56,1.9,813,83,1.6
"세종특별자치시","전규모(1인이상)","1 연구직 및 공학기술직",543,93,3.3,501,51,3.7,648,125,5.0,733,89,3.9,660,97,3.9,596,157,3.1,622,47,3.2,514,83,3.0,567,83,3.9,483,74,2.6
"세종특별자치시","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",1149,6,2.5,897,25,2.9,1472,57,3.4,739,48,4.3,1389,39,2.6,702,21,3.0,1160,57,3.7,711,10,2.2,1196,66,3.5,758,64,1.9
"세종특별자치시","전규모(1인이상)","3 보건ㆍ의료직",176,5,3.4,399,56,5.5,253,7,3.6,183,19,4.7,309,12,3.5,358,48,2.8,415,22,2.1,442,23,3.7,437,49,2.3,385,25,1.4
"세종특별자치시","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",39,0,3.5,82,0,4.8,57,0,5.8,113,39,9.3,102,25,7.5,178,3,4.2,226,9,4.6,331,17,3.3,185,1,4.4,216,11,1.8
"세종특별자치시","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",742,67,2.3,873,102,5.8,1413,37,4.9,1625,128,5.8,1898,62,2.9,1352,15,2.6,2100,46,3.2,2401,6,3.8,2038,33,3.1,1682,62,2.5
"세종특별자치시","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",657,86,2.9,694,90,2.9,831,155,4.1,1023,240,5.3,1142,179,3.6,1096,100,4.4,1173,256,5.0,987,92,4.6,1090,71,3.9,973,141,5.2
