"시도별","산업별",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"전라남도","F 건설업(41~42)",84,78,79,80,85,83,78,69,77,81,79
"전라남도","* 도소매·숙박음식점업(G,I)",178,181,189,190,179,174,167,178,179,184,180
"전라남도","* 사업·개인·공공서비스 및 기타(E,L~U)",282,277,295,311,338,333,343,354,366,354,355
"전라남도","* 전기·운수·통신·금융(D,H,J,K)",81,90,87,82,77,73,79,77,72,71,82
"경상북도","계",1433,1443,1447,1427,1430,1418,1410,1462,1462,1462,1479
"경상북도","A 농업, 임업 및 어업(01~03)",234,216,218,235,251,262,274,280,285,273,271
"경상북도","* 광공업(B,C)",293,297,292,285,300,293,283,294,260,259,265
"경상북도","C 제조업(10~34)",292,296,291,284,299,292,283,293,260,259,265
"경상북도","* 사회간접자본 및 기타서비스업(D~U)",906,930,936,906,879,863,853,888,917,930,943
"경상북도","F 건설업(41~42)",88,91,101,93,94,97,91,87,88,89,86
"경상북도","* 도소매·숙박음식점업(G,I)",283,294,284,288,277,229,204,216,238,233,218
"경상북도","* 사업·개인·공공서비스 및 기타(E,L~U)",409,432,429,402,392,425,442,464,469,477,522
"경상북도","* 전기·운수·통신·금융(D,H,J,K)",126,114,123,123,116,112,116,122,122,132,117
"경상남도","계",1691,1704,1723,1746,1749,1729,1732,1740,1760,1758,1799
"경상남도","A 농업, 임업 및 어업(01~03)",157,164,161,183,178,184,203,220,208,204,176
"경상남도","* 광공업(B,C)",453,433,431,420,398,400,377,390,373,406,428
"경상남도","C 제조업(10~34)",453,433,430,418,396,399,377,390,372,405,428
"경상남도","* 사회간접자본 및 기타서비스업(D~U)",1081,1107,1131,1144,1173,1145,1151,1130,1179,1148,1195
"경상남도","F 건설업(41~42)",86,88,95,95,92,101,108,108,97,80,86
"경상남도","* 도소매·숙박음식점업(G,I)",330,349,359,348,363,336,318,296,313,297,310
"경상남도","* 사업·개인·공공서비스 및 기타(E,L~U)",492,510,532,556,566,551,576,577,594,600,640
"경상남도","* 전기·운수·통신·금융(D,H,J,K)",172,160,146,145,152,157,149,149,175,172,159
"제주도","계",339,355,374,372,382,378,383,402,401,400,403
"제주도","A 농업, 임업 및 어업(01~03)",55,57,55,59,67,74,67,63,52,50,49
"제주도","* 광공업(B,C)",14,14,13,12,12,13,15,16,15,13,15
"제주도","C 제조업(10~34)",14,14,13,12,12,12,14,16,15,13,15
"제주도","* 사회간접자본 및 기타서비스업(D~U)",271,284,306,301,303,292,302,323,335,337,339
"제주도","F 건설업(41~42)",29,31,37,34,36,33,37,36,34,31,23
"제주도","* 도소매·숙박음식점업(G,I)",95,93,93,90,89,90,93,98,100,98,100
"제주도","* 사업·개인·공공서비스 및 기타(E,L~U)",109,121,136,137,138,136,139,156,164,175,177
"제주도","* 전기·운수·통신·금융(D,H,J,K)",38,39,40,40,40,32,33,32,36,34,39
